backend,GPU,ppwi,wgsize,sum_ms,avg_ms,min_ms,max_ms,stddev_ms,gflops/s
HIP-no-fastmath,AMD Instinct MI300A,32,1,22867.414,228.674,226.325,274.341,8.777,212.008
HIP-no-fastmath,AMD Instinct MI300A,64,1,44005.222,440.052,420.180,896.151,69.102,109.603
HIP-no-fastmath,AMD Instinct MI300A,128,1,60817.805,608.178,587.127,640.839,6.373,79.099
HIP-no-fastmath,AMD Instinct MI300A,1,8,3086.051,30.861,28.992,72.318,7.364,2072.798
HIP-no-fastmath,AMD Instinct MI300A,2,8,4849.619,48.496,38.817,397.009,53.220,1154.202
HIP-no-fastmath,AMD Instinct MI300A,4,8,3683.279,36.833,35.549,112.680,8.921,1411.184,
HIP-no-fastmath,AMD Instinct MI300A,8,8,4905.147,49.051,48.054,76.447,4.779,1018.921
HIP-no-fastmath,AMD Instinct MI300A,16,8,6439.368,64.394,63.197,97.060,5.675,760.640
HIP-no-fastmath,AMD Instinct MI300A,32,8,9251.183,92.512,90.769,129.621,6.806,524.050
HIP-no-fastmath,AMD Instinct MI300A,64,8,28097.997,280.980,276.158,349.586,11.296,171.653
HIP-no-fastmath,AMD Instinct MI300A,128,8,45974.667,459.747,415.689,918.842,71.727,104.636
HIP-no-fastmath,AMD Instinct MI300A,1,64,1211.914,12.119,11.676,54.577,4.267,5278.231
HIP-no-fastmath,AMD Instinct MI300A,2,64,1254.653,12.547,12.146,51.027,3.867,4461.346
HIP-no-fastmath,AMD Instinct MI300A,4,64,1582.526,15.825,12.731,282.184,26.943,3284.486
HIP-no-fastmath,AMD Instinct MI300A,8,64,2630.120,26.301,25.131,63.980,5.828,1900.277
HIP-no-fastmath,AMD Instinct MI300A,16,64,4468.408,44.684,43.422,79.831,6.071,1096.149
HIP-no-fastmath,AMD Instinct MI300A,32,64,9560.898,95.609,93.185,126.958,7.785,507.074
HIP-no-fastmath,AMD Instinct MI300A,64,64,28987.956,289.880,285.718,320.626,6.926,166.383
HIP-no-fastmath,AMD Instinct MI300A,128,64,50405.474,504.055,491.337,976.313,55.432,95.438
