backend,GPU,ppwi,wgsize,sum_ms,avg_ms,min_ms,max_ms,stddev_ms,gflops/s
Mojo, NVIDIA H100 NVL , 1 , 64 , 705.6678 , 7.056678 , 6.996502 , 7.4484158 , 0.12464209 , 9064.831173281224
Mojo, NVIDIA H100 NVL , 2 , 64 , 783.9251 , 7.839251 , 7.779698 , 8.251592 , 0.11923975 , 7140.277144442443
Mojo, NVIDIA H100 NVL , 4 , 64 , 1026.0848 , 10.260848 , 10.238868 , 10.286329 , 0.018989347 , 5065.648419669015
Mojo, NVIDIA H100 NVL , 8 , 64 , 1608.5541 , 16.08554 , 16.062582 , 16.125652 , 0.018160945 , 3107.1107790873116
Mojo, NVIDIA H100 NVL , 16 , 64 , 2837.2632 , 28.372631 , 28.104303 , 28.660486 , 0.22397144 , 1726.326053242156
Mojo, NVIDIA H100 NVL , 32 , 64 , 5190.4424 , 51.904423 , 51.60392 , 52.691536 , 0.28268448 , 934.0405023944431

