backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3091.8264
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3539.4504
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3435.2703
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3420.3877
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3379.9265
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3292.8381
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3533.3938
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3705.8293
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3431.318
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3336.6328
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3221.3157
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3416.709
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3254.1182
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3384.8064
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3500.2212
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3494.5254
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3318.4836
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3161.7466
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3461.6287
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3539.9172
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3265.5984
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3660.625
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3641.7285
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 2410.1624
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3686.7686
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3635.8342
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3583.87
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3557.7456
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3612.5676
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3580.524
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3475.2976
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3513.76
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3595.4146
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3589.141
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3399.5955
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3605.7742
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3675.889
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3409.96
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3497.5076
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3392.0776
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3681.182
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3442.7603
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3513.277
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3514.8872
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3716.347
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3470.804
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3492.4792
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3487.7148
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3497.257
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3559.6326
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3472.6226
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3492.5022
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3433.2932
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3567.2012
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3401.534
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3544.1235
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3606.2585
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3471.0286
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3342.8865
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3603.8618
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3341.4092
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3434.8308
