backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.396365156635
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.842023058566
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5872272382214
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.807114084512
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9886596032904
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1308.8353892969676
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1410.7919022476835
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.689599893457
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.662841970751
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0317253267792
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4627713966806
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5185993402188
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.815142995679
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.731483895937
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.2976395842352
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.0115413645533
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0177577772708
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8222410946476
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5498881813003
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7489362971685
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3697346372007
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1433592557532
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.292988543419
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.295314059995
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4883586559367
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8792612004281
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.0720994106946
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0235775559843
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8606418839559
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8303865420662
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5534940476653
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3104301045503
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6011862714495
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7535903437074
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4371850650919
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8664603675995
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5291838858511
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.3379168632423
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5500044992825
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7640620606146
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5558204228387
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4453260699754
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6104924469796
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0713015510617
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3708975209956
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9642180639362
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8396957399204
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7082146988423
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8396957399204
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1318341853619
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9525795330753
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9502518499273
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.637248385144
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.01426593307
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7768610366925
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8512160422279
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.2906630345067
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9583987745223
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3033371510132
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1409.5011333912837
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6023495366803
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.738464804649
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8699514808056
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0539575796988
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.1883482290632
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9642180639362
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7605714710514
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.3029833624073
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4022961078356
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0980749607727
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6477183761772
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9293030469482
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.0337415035024
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.0375452206308
