backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1906.4069802421682
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.3622272178472
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1908.203636780064
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.2199409068746
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1908.0763153104924
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.096784824132
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.7405572089258
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1909.0160032907734
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.3603157685166
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1906.788964191585
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.7467187931043
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1907.3560681170536
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1905.3785070394679
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1906.4324410773493
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1862.730924245049
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1833.4145994260925
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1724.1047523064926
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1599.6494683986928
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1609.45653114514
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1616.990698134992
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1638.3849621850925
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1646.3656770104728
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1646.172492781824
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1662.4106575724948
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.317091414536
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.238282917536
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.9530736126246
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.1383860337992
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.3188180233897
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.4910848002455
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.7091760949436
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.4336586074323
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.6205542785076
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.507328922881
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.4812400306375
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.0711440467926
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.600861813724
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.6289237161207
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.791241686175
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.8742052712705
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.1252652224268
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.0466175221648
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.8694504526045
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.4876391177306
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.0465446677972
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.16282409258
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.4220097740097
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.5239015340069
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.345065912575
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.6435294054313
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.5140563789803
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.395923537058
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.804372926269
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.9645519525857
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.6484527288362
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.7815575283748
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1677.0031721963578
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.7676382239906
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1673.9662490758978
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.969471289271
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.3202045843202
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.9399557023316
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.4054116175337
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.2909305417493
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1677.0473379703851
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.181030089485
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.069340067798
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.9629121801079
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1677.027635478952
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.6710837883593
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.0217820222488
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.320368435682
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.327020400462
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.1677445932835
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.2942113737822
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.9315931417032
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1676.7011340991878
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1675.5825716709933
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1681.8689534418027
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1705.450799751573
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1705.7209912806725
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1709.790135312631
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1722.8789208874484
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1741.3212766537104
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1744.7605707283203
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1762.1037679794986
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1764.1455594289534
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1801.499249617973
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1800.8441382517926
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1820.527065846511
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1820.1730560574242
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1820.2540986045406
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1820.3645524540038
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1819.1157159804761
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1820.619943670858
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1834.423997269601
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1845.5733380395109
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1853.6398331441048
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1864.9290676365865
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1864.4479898574775
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1861.3644419591776
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1863.5980838256644
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1863.4847539878074
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1863.2230735243538
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1863.7179162309624
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1862.833830628055
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1841.8107047035396
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1825.390708627703
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1806.734100205254
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1791.8357450022334
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1782.1935847414309
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1769.375426668048
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1769.9696141847726
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1762.7855933822027
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1752.1760455623078
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1750.6394247691198
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1753.8498555466513
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1754.6653128848357
