backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.934419
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1428.790599
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1428.876531
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.318747
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.508404
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.110183
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1428.640452
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1419.601959
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.336756
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1419.820702
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.932032
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.380768
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1430.185135
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.304436
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.6505
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1300.779722
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.732836
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.263888
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.811481
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.70885
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.798353
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.652886
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.963068
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.455915
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1419.35835
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.598001
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.658852
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1406.734523
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1420.198689
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.463072
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.57402
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.469037
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.734029
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.621625
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1430.057498
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.600387
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1430.050215
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.469156
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.752884
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1422.259907
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.921289
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.484545
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.859221
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.089915
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.581178
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.415478
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.792505
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.292748
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.916634
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.399852
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.757777
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.238844
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.921289
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.423708
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.764937
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1422.917971
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1418.387686
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.064758
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.554931
